date,promo_rate,tail_mean_h4
2021-01-04,0.261905,0.0896
2021-01-05,0.142857,0.1721
2021-01-06,0.067797,0.1494
2021-01-07,0.157895,0.3238
2021-01-08,0.129032,0.1660
2021-01-11,0.105263,-0.1251
2021-01-12,0.212121,0.2952
2021-01-13,0.125000,0.1158
2021-01-14,0.142857,-0.5344
2021-01-15,0.145833,0.4389
2021-01-18,0.185185,0.1533
2021-01-19,0.140845,-0.0996
2021-01-20,0.187500,0.2241
2021-01-21,0.245283,-0.3693
2021-01-22,0.191489,0.0785
2021-01-25,0.054054,-0.2179
2021-01-26,0.100000,-0.0099
2021-01-27,0.243902,0.0330
2021-01-28,0.116279,-0.4710
2021-01-29,0.111111,0.1956
2021-02-01,0.307692,0.3429
2021-02-02,0.144928,0.1441
2021-02-03,0.063830,-0.5589
2021-02-04,0.161290,0.5033
2021-02-05,0.090909,-1.0078
2021-02-08,0.100000,-0.1598
2021-02-09,0.200000,0.1538
2021-02-10,0.127273,0.1240
2021-02-18,0.200000,0.0449
2021-02-19,0.160494,0.3581
2021-02-22,0.234375,-1.2896
2021-02-23,0.106383,-0.4278
2021-02-24,0.117647,0.0260
2021-02-25,0.233333,-0.2869
2021-02-26,0.172414,0.1174
2021-03-01,0.241379,0.5050
2021-03-02,0.132353,0.4673
2021-03-03,0.173913,0.3647
2021-03-04,0.179104,-0.0028
2021-03-05,0.272727,-0.1772
2021-03-08,0.155556,-0.8991
2021-03-09,0.333333,-1.3154
2021-03-10,0.000000,-0.2780
2021-03-11,0.142857,0.2338
2021-03-12,0.166667,0.0874
2021-03-15,0.120000,0.3043
2021-03-16,0.200000,0.3704
2021-03-17,0.187500,0.0812
2021-03-18,0.088235,0.0336
2021-03-19,0.261905,-0.0599
2021-03-22,0.272727,0.1464
2021-03-23,0.230769,-0.2023
2021-03-24,0.137931,-0.0793
2021-03-25,0.181818,-0.2495
2021-03-26,0.214286,-0.0409
2021-03-29,0.224138,0.1034
2021-03-30,0.325581,0.1481
2021-03-31,0.212121,0.0479
2021-04-01,0.173077,0.1786
2021-04-02,0.240000,0.1231
2021-04-06,0.170732,0.1207
2021-04-07,0.260000,0.2833
2021-04-08,0.150000,-0.5706
2021-04-09,0.210526,0.1820
2021-04-12,0.350000,-0.3297
2021-04-13,0.205128,-0.0913
2021-04-14,0.205882,0.0571
2021-04-15,0.113636,-0.0030
2021-04-16,0.200000,-0.0299
2021-04-19,0.360000,0.0957
2021-04-20,0.129630,-0.4659
2021-04-21,0.160000,-0.0876
2021-04-22,0.214286,-0.0553
2021-04-23,0.161290,0.1128
2021-04-26,0.227273,-0.3736
2021-04-27,0.176471,0.0645
2021-04-28,0.240000,0.2631
2021-04-29,0.108696,-0.3171
2021-04-30,0.031250,0.2046
2021-05-06,0.323529,-0.1015
2021-05-07,0.217391,-0.2862
2021-05-10,0.483871,0.3368
2021-05-11,0.148148,-0.0798
2021-05-12,0.250000,0.3897
2021-05-13,0.127273,-0.1808
2021-05-14,0.238095,0.0893
2021-05-17,0.196721,0.0172
2021-05-18,0.190476,0.1604
2021-05-19,0.211538,-0.0355
2021-05-20,0.171429,-0.2771
2021-05-21,0.206897,-0.1113
2021-05-24,0.270833,0.1794
2021-05-25,0.085714,0.1343
2021-05-26,0.264706,-0.0549
2021-05-27,0.162791,0.1737
2021-05-28,0.142857,0.0650
2021-05-31,0.289474,0.2826
2021-06-01,0.237288,0.2226
2021-06-02,0.142857,0.0769
2021-06-03,0.225000,-0.6321
2021-06-04,0.068182,-0.1204
2021-06-07,0.236842,0.2869
2021-06-08,0.133333,0.2673
2021-06-09,0.081081,0.1150
2021-06-10,0.236842,0.1599
2021-06-11,0.204082,-0.3339
2021-06-15,0.097561,-0.2494
2021-06-16,0.171429,0.0205
2021-06-17,0.153846,0.2522
2021-06-18,0.214286,0.2070
2021-06-21,0.108696,0.2994
2021-06-22,0.177419,0.2488
2021-06-23,0.145833,-0.0176
2021-06-24,0.171429,-0.1772
2021-06-25,0.150000,0.0021
2021-06-28,0.113636,0.2088
2021-06-29,0.150943,-0.1793
2021-06-30,0.125000,0.2788
2021-07-01,0.155556,-1.2082
2021-07-02,0.105263,-0.0082
2021-07-05,0.214286,0.4664
2021-07-06,0.096774,0.7384
2021-07-07,0.090909,0.1114
2021-07-08,0.140351,0.0204
2021-07-09,0.128205,0.2074
2021-07-12,0.232143,0.1023
2021-07-13,0.131148,0.2662
2021-07-14,0.152174,-0.6411
2021-07-15,0.076923,0.1297
2021-07-16,0.027027,-0.2919
2021-07-19,0.066667,0.2953
2021-07-20,0.090909,0.4044
2021-07-21,0.184211,0.0247
2021-07-22,0.205479,0.1508
2021-07-23,0.090909,-0.1771
2021-07-26,0.324324,0.1203
2021-07-27,0.153846,-2.0859
2021-07-28,0.100000,0.0932
2021-07-29,0.233333,-0.0242
2021-07-30,0.196078,0.4841
2021-08-02,0.158730,0.3156
2021-08-03,0.064935,-0.4183
2021-08-04,0.111111,0.2197
2021-08-05,0.125000,0.1017
2021-08-06,0.138889,0.6754
2021-08-09,0.061224,0.1514
2021-08-10,0.176471,0.2422
2021-08-11,0.188679,0.0827
2021-08-12,0.164384,0.0778
2021-08-13,0.160000,0.3679
2021-08-16,0.163265,-0.2952
2021-08-17,0.173077,-0.6115
2021-08-18,0.176471,0.6202
2021-08-19,0.070175,-0.2394
2021-08-20,0.058824,0.8274
2021-08-23,0.309524,0.1297
2021-08-24,0.105769,-0.0008
2021-08-25,0.111111,0.3033
2021-08-26,0.098361,-0.5255
2021-08-27,0.162162,0.1855
2021-08-30,0.163934,0.3067
2021-08-31,0.160714,0.2240
2021-09-01,0.150000,0.1309
2021-09-02,0.096154,0.2999
2021-09-03,0.114583,-0.2282
2021-09-06,0.263158,0.3107
2021-09-07,0.136364,0.1687
2021-09-08,0.142857,0.1275
2021-09-09,0.138462,0.3340
2021-09-10,0.127273,-0.1601
2021-09-13,0.162162,0.1867
2021-09-14,0.121622,-0.5058
2021-09-15,0.021739,0.1524
2021-09-16,0.128205,-0.3314
2021-09-17,0.142857,0.3995
2021-09-22,0.350000,0.0450
2021-09-23,0.141026,-0.1341
2021-09-24,0.000000,-0.4677
2021-09-27,0.200000,-0.3685
2021-09-28,0.125000,-0.2514
2021-09-29,0.029851,-0.8227
2021-09-30,0.230769,0.1079
2021-10-08,0.071429,0.2460
2021-10-11,0.117647,-0.0573
2021-10-12,0.090909,0.6525
2021-10-13,0.095238,0.1942
2021-10-14,0.145833,-0.0970
2021-10-15,0.015873,-0.3689
2021-10-18,0.172414,0.3737
2021-10-19,0.090909,0.0770
2021-10-20,0.090909,-0.0178
2021-10-21,0.102564,0.1442
2021-10-22,0.137931,-0.2919
2021-10-25,0.103448,0.2935
2021-10-26,0.000000,0.0399
2021-10-27,0.071429,0.1008
2021-10-28,0.050000,-0.2364
2021-10-29,0.147059,0.0545
2021-11-01,0.178571,0.0817
2021-11-02,0.118421,0.6028
2021-11-03,0.031250,0.7676
2021-11-04,0.146341,0.2914
2021-11-05,0.141026,-0.3559
2021-11-08,0.166667,0.0946
2021-11-09,0.214286,0.1311
2021-11-10,0.078947,0.7808
2021-11-11,0.135135,-0.0596
2021-11-12,0.148148,-0.0115
2021-11-15,0.144737,0.0508
2021-11-16,0.133333,-0.3003
2021-11-17,0.130435,0.2965
2021-11-18,0.113924,-0.3327
2021-11-19,0.095238,-0.0039
2021-11-22,0.163934,0.0756
2021-11-23,0.134328,0.1060
2021-11-24,0.139535,-0.1398
2021-11-25,0.095238,-0.2589
2021-11-26,0.133333,-0.0645
2021-11-29,0.121951,0.1238
2021-11-30,0.156250,0.1146
2021-12-01,0.129630,0.3339
2021-12-02,0.128571,-0.4823
2021-12-03,0.181818,-0.0913
2021-12-06,0.068182,-0.6997
2021-12-07,0.194444,0.3579
2021-12-08,0.105263,0.2092
2021-12-09,0.115942,-0.0425
2021-12-10,0.145833,-0.0116
2021-12-13,0.140000,-0.0482
2021-12-14,0.264151,0.1210
2021-12-15,0.135593,-0.3560
2021-12-16,0.277778,0.2264
2021-12-17,0.200000,-0.2417
2021-12-20,0.291667,-0.4913
2021-12-21,0.380000,0.1668
2021-12-22,0.117647,-0.1251
2021-12-23,0.122449,-0.1302
2021-12-24,0.067797,-0.1907
2021-12-27,0.214286,0.1465
2021-12-28,0.120000,0.2861
2021-12-29,0.208333,-0.2332
2021-12-30,0.243902,-0.0255
2021-12-31,0.178571,-0.0275
2022-01-04,0.454545,-0.0757
2022-01-05,0.203125,0.5018
2022-01-06,0.304348,-0.1059
2022-01-07,0.104478,-0.9495
2022-01-10,0.363636,0.1053
2022-01-11,0.062500,-0.1264
2022-01-12,0.315789,0.2131
2022-01-13,0.271429,-0.3731
2022-01-14,0.200000,-0.3914
2022-01-17,0.250000,0.0038
2022-01-18,0.132530,-0.0055
2022-01-19,0.166667,0.5595
2022-01-20,0.184211,-0.4962
2022-01-21,0.153846,-0.4717
2022-01-24,0.212121,-0.1900
2022-01-25,0.085714,-1.2528
2022-01-26,0.294118,0.2825
2022-01-27,0.055556,-1.1784
2022-01-28,0.166667,-0.9179
2022-02-07,0.173913,-0.0141
2022-02-08,0.211268,0.8081
2022-02-09,0.230769,0.3865
2022-02-10,0.119403,0.3341
2022-02-11,0.156250,-0.3448
2022-02-14,0.258065,0.0870
2022-02-15,0.145161,0.3803
2022-02-16,0.194444,0.1848
2022-02-17,0.170213,-0.3040
2022-02-18,0.066667,0.3957
2022-02-21,0.512821,0.3767
2022-02-22,0.140351,0.2570
2022-02-23,0.238095,0.1170
2022-02-24,0.050847,-0.0000
2022-02-25,0.263158,-0.0933
2022-02-28,0.102564,0.1279
2022-03-01,0.200000,0.4435
2022-03-02,0.200000,0.2185
2022-03-03,0.459459,-0.0729
2022-03-04,0.075000,-0.1667
2022-03-07,0.280000,0.0018
2022-03-08,0.156250,-1.6598
2022-03-09,0.533333,2.3637
2022-03-10,0.275862,0.0788
2022-03-11,0.100000,0.8601
2022-03-14,0.169811,-0.9527
2022-03-15,0.136364,-1.9559
2022-03-16,0.357143,0.6363
2022-03-17,0.116505,-0.1183
2022-03-18,0.104478,-0.0921
2022-03-21,0.273973,0.7578
2022-03-22,0.153846,-0.0350
2022-03-23,0.148936,0.0952
2022-03-24,0.093023,-0.4010
2022-03-25,0.214286,-0.4313
2022-03-28,0.145833,-0.1136
2022-03-29,0.162162,-0.4091
2022-03-30,0.138889,0.2110
2022-03-31,0.090909,0.2049
2022-04-01,0.193548,0.0931
2022-04-06,0.187500,0.1736
2022-04-07,0.100000,-0.5525
2022-04-08,0.437500,-0.1857
2022-04-11,0.219512,-0.7039
2022-04-12,0.371429,0.7227
2022-04-13,0.104478,-1.1865
2022-04-14,0.235294,-0.3744
2022-04-15,0.108696,-0.6036
2022-04-18,0.333333,0.0621
2022-04-19,0.137931,0.4736
2022-04-20,0.138889,-0.1475
2022-04-21,0.200000,-0.6691
2022-04-22,0.526316,-1.0870
2022-04-25,0.118644,-1.3265
2022-04-26,0.071429,-1.7964
2022-04-27,0.228571,0.6536
2022-04-28,0.088710,0.3392
2022-04-29,0.333333,-0.0031
2022-05-05,0.160714,-0.3679
2022-05-06,0.101010,-0.1927
2022-05-09,0.133333,0.4337
2022-05-10,0.185567,0.3008
2022-05-11,0.119403,-1.4032
2022-05-12,0.053571,0.8754
2022-05-13,0.315789,0.2505
2022-05-16,0.223881,-0.1607
2022-05-17,0.068966,0.3744
2022-05-18,0.295455,-0.5655
2022-05-19,0.159420,0.6221
2022-05-20,0.184211,0.2896
